t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1982,I Moderate,25138937,15597068894.224733,36.3726,42.7246,89515,57746320.10685184,0.1295,0.1582
1982,II Strong,6153768,3504615598.722566,8.9037,9.6001,215902,137180800.92546955,0.3124,0.3758
1982,III Severe,1319737,588297178.4385046,1.9095,1.6115,132901,81150803.92950726,0.1923,0.2223
1982,IV Extreme,720930,250229497.78004664,1.0431,0.6854,86050,38441122.56094855,0.1245,0.1053
1982,V Ice,687095,141843221.37163982,0.9941,0.3885,52564,11198017.993286049,0.0761,0.0307
1983,I Moderate,23726131,14889330569.936846,34.3285,40.786,104702,66489386.12172107,0.1515,0.1821
1983,II Strong,4792515,2799295254.485135,6.9341,7.668,236485,151454469.85230583,0.3422,0.4149
1983,III Severe,849194,378938245.4972522,1.2287,1.038,108037,64383950.95165618,0.1563,0.1764
1983,IV Extreme,409043,135219783.42424387,0.5918,0.3704,57605,24496383.492294047,0.0833,0.0671
1983,V Ice,503036,109163467.6578446,0.7278,0.299,41893,9282120.016970865,0.0606,0.0254
1984,I Moderate,22988989,14726508128.132374,33.2619,40.3399,98620,61254376.68653969,0.1427,0.1678
1984,II Strong,5006540,3034447731.3447037,7.2438,8.3122,220018,138875779.9281105,0.3183,0.3804
1984,III Severe,994474,490604582.1735877,1.4389,1.3439,126389,77886212.3248773,0.1829,0.2134
1984,IV Extreme,469937,173087074.75008276,0.6799,0.4741,74820,34614749.22791235,0.1083,0.0948
1984,V Ice,414752,94916649.11152662,0.6001,0.26,33720,8054457.242471713,0.0488,0.0221
1985,I Moderate,27196340,17708223192.680775,39.3494,48.5077,133086,81474222.77910514,0.1926,0.2232
1985,II Strong,4247258,2602008221.9506927,6.1452,7.1276,278833,179647864.99675012,0.4034,0.4921
1985,III Severe,562659,247240419.67687464,0.8141,0.6773,86633,51146707.14240549,0.1253,0.1401
1985,IV Extreme,267515,78708824.00985113,0.3871,0.21560000000000001,34740,13646636.720539555,0.0503,0.0374
1985,V Ice,398955,85649222.8928923,0.5772,0.2346,34546,7467114.063413877,0.05,0.0205
1986,I Moderate,25753636,16155035936.581823,37.262,44.2531,143263,89010981.21591663,0.2073,0.2438
1986,II Strong,4319493,2458968082.7706566,6.2497,6.7358,257560,162334195.92867458,0.3727,0.4447
1986,III Severe,629162,251208446.18924305,0.9103,0.6881,83386,46404061.54762968,0.1206,0.1271
1986,IV Extreme,230800,66914725.139699176,0.3339,0.1833,36971,13842567.368149312,0.0535,0.0379
1986,V Ice,428503,76098297.94516341,0.62,0.2085,34977,6423527.290454573,0.0506,0.0176
1987,I Moderate,20841408,12491168000.749083,30.1547,34.2167,154157,97545775.83666466,0.223,0.2672
1987,II Strong,3469115,1872449702.35037,5.0193,5.1292,218178,135153014.91927427,0.3157,0.3702
1987,III Severe,610009,219353583.02130663,0.8826,0.6009,57921,31764245.751596473,0.0838,0.087
1987,IV Extreme,346806,88628696.02882282,0.5018,0.2428,29748,10802789.185114676,0.043,0.0296
1987,V Ice,2523553,220428087.2726403,3.6512,0.6038,83017,10917087.890384994,0.1201,0.0299
1988,I Moderate,19924989,12307740521.242329,28.8287,33.7143,175122,110493587.47375204,0.2534,0.3027
1988,II Strong,3356771,1907453717.6768525,4.8568,5.225,235337,148683040.56582683,0.3405,0.4073
1988,III Severe,564983,215706147.12428644,0.8175,0.5909,53869,30208475.737135507,0.0779,0.0827
1988,IV Extreme,304588,77130060.44792916,0.4407,0.2113,27857,10238070.019182255,0.0403,0.028
1988,V Ice,3994745,279680410.8708524,5.7799,0.7661,80618,10588735.2675971,0.1166,0.029
1989,I Moderate,23522761,15032649253.319407,34.0342,41.1785,160802,101027044.24070817,0.2327,0.2767
1989,II Strong,3527072,2025501310.8946483,5.1032,5.5484,246667,160102064.23740724,0.3569,0.4386
1989,III Severe,603267,223541416.4240492,0.8728,0.6123,64101,36194443.42352666,0.0927,0.0991
1989,IV Extreme,416186,103124949.7388144,0.6022,0.2825,37079,13277489.080126034,0.0536,0.0364
1989,V Ice,3490022,255968992.8330325,5.0496,0.7012,82915,11589007.023965864,0.12,0.0317
1990,I Moderate,15929279,9964561682.006626,23.0475,27.2957,191388,121643351.73226103,0.2769,0.3332
1990,II Strong,2188803,1205479806.1502652,3.1669,3.3021,215731,135346098.7893044,0.3121,0.3708
1990,III Severe,400220,143161522.4252178,0.5791,0.3922,47286,24817363.24316695,0.0684,0.068
1990,IV Extreme,310263,79022793.07181811,0.4489,0.2165,32780,10580710.626460347,0.0474,0.029
1990,V Ice,840704,160659491.0163883,1.2164,0.4401,53268,10713921.55290402,0.0771,0.0293
1991,I Moderate,18174287,11517981459.279469,26.2957,31.5509,186280,117762130.74640866,0.2695,0.3226
1991,II Strong,2022666,1154337613.120373,2.9265,3.162,229030,144155701.23503205,0.3314,0.3949
