t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
1982,I Moderate,12850343,6386898194.530531,18.5927,12.4937,236828,114353425.17467934,0.3427,0.2237
1982,II Strong,1612165,901094650.2339222,2.3326,1.7627,184324,105015229.43934757,0.2667,0.2054
1982,III Severe,147165,71382498.9825604,0.2129,0.1396,36762,21933262.28947978,0.0532,0.0429
1982,IV Extreme,31823,11445828.214065524,0.046,0.0224,8620,4150179.8327680673,0.0125,0.0081
1983,I Moderate,15689323,8129323141.3439455,22.7003,15.9022,219359,114215790.75734498,0.3174,0.2234
1983,II Strong,2964140,1677961463.7203958,4.2887,3.2823,211230,106747665.57610406,0.3056,0.2088
1983,III Severe,388039,208795417.85118023,0.5614,0.4084,48080,26495220.70155159,0.0696,0.0518
1983,IV Extreme,70629,28948134.782105003,0.1022,0.0566,14927,6731409.645666551,0.0216,0.0132
1984,I Moderate,13691224,5537077056.798242,19.8093,10.8314,246884,129276960.7090085,0.3572,0.2529
1984,II Strong,1354434,574637213.773778,1.9597,1.1241,189897,93076298.15383498,0.2748,0.1821
1984,III Severe,164654,54393418.78877207,0.2382,0.1064,30943,14582520.474629197,0.0448,0.0285
1984,IV Extreme,52703,13225342.641489867,0.0763,0.0259,9257,3192543.5911841807,0.0134,0.0062
1985,I Moderate,10398334,3428209509.004408,15.045,6.7061,216435,116240793.0133058,0.3132,0.2274
1985,II Strong,1033130,305494309.6400052,1.4948,0.5976,140289,52938743.41097393,0.203,0.1036
1985,III Severe,106185,30477153.61289292,0.1536,0.0596,21887,7290895.290415372,0.0317,0.0143
1985,IV Extreme,43256,11121959.607700551,0.0626,0.0218,7784,2259716.7041270374,0.0113,0.0044
1986,I Moderate,10068255,4127381116.1980715,14.5674,8.0738,238773,118384020.53228505,0.3455,0.2316
1986,II Strong,1253565,387075947.0022514,1.8137,0.7572,111809,52634126.99111782,0.1618,0.103
1986,III Severe,237224,58032471.93651307,0.3432,0.1135,19464,6838287.802775179,0.0282,0.0134
1986,IV Extreme,154217,35254474.79822908,0.2231,0.069,15885,4332344.83386006,0.023,0.0085
1987,I Moderate,13474843,6724611727.72907,19.4963,13.1544,270790,141084647.07444015,0.3918,0.276
1987,II Strong,1233423,519318352.7180085,1.7846,1.0159,162866,89818610.18025555,0.2356,0.1757
1987,III Severe,135948,34702687.31593619,0.1967,0.0679,21082,9166427.211131152,0.0305,0.0179
1987,IV Extreme,71044,12093464.91310841,0.1028,0.0237,6874,1891909.410002751,0.0099,0.0037
1988,I Moderate,9646392,5292528841.131162,13.957,10.353,273265,153334830.04670665,0.3954,0.2999
